,matchId,matchNumber,teamA_shortName,teamB_shortName,matchResult,startDate,stage,venue
0,239603,Match 1,USA,CAN,USA beat Canada by 7 wickets,2024-06-02 06:00:00+05:30,Group,"Grand Prairie Cricket Stadium, Dallas"
1,239604,Match 2,WI,PNG,West Indies beat Papua New Guinea by 5 wickets,2024-06-02 20:00:00+05:30,Group,"Guyana National Stadium, Guyana"
2,239605,Match 3,NAM,OMA,Oman tied with Namibia (Namibia win Super Over by 11 runs),2024-06-03 06:00:00+05:30,Group,"Kensington Oval, Bridgetown, Barbados"
3,239606,Match 4,SL,SA,South Africa beat Sri Lanka by 6 wickets,2024-06-03 20:00:00+05:30,Group,"Nassau County International Cricket Stadium, New York"
4,239607,Match 5,AFG,UGA,Afghanistan beat Uganda by 125 runs,2024-06-04 06:00:00+05:30,Group,"Guyana National Stadium, Guyana"
5,239608,Match 6,ENG,SCO,Match Abandoned,2024-06-04 20:00:00+05:30,Group,"Kensington Oval, Bridgetown, Barbados"
6,239609,Match 7,NED,NEP,Netherlands beat Nepal by 6 wickets,2024-06-04 21:00:00+05:30,Group,"Grand Prairie Cricket Stadium, Dallas"
7,239610,Match 8,IND,IRE,India beat Ireland by 8 wickets,2024-06-05 20:00:00+05:30,Group,"Nassau County International Cricket Stadium, New York"
8,239611,Match 9,PNG,UGA,Uganda beat Papua New Guinea by 3 wickets,2024-06-06 05:00:00+05:30,Group,"Guyana National Stadium, Guyana"
9,239612,Match 10,AUS,OMA,Australia beat Oman by 39 runs,2024-06-06 06:00:00+05:30,Group,"Kensington Oval, Bridgetown, Barbados"
10,239613,Match 11,USA,PAK,Pakistan tied with USA (USA win Super Over by 5 runs),2024-06-06 21:00:00+05:30,Group,"Grand Prairie Cricket Stadium, Dallas"
11,239614,Match 12,NAM,SCO,Scotland beat Namibia by 5 wickets,2024-06-07 00:30:00+05:30,Group,"Kensington Oval, Bridgetown, Barbados"
12,239615,Match 13,CAN,IRE,Canada beat Ireland by 12 runs,2024-06-07 20:00:00+05:30,Group,"Nassau County International Cricket Stadium, New York"
13,239616,Match 14,NZ,AFG,Afghanistan beat New Zealand by 84 runs,2024-06-08 05:00:00+05:30,Group,"Guyana National Stadium, Guyana"
14,239617,Match 15,SL,BAN,Bangladesh beat Sri Lanka by 2 wickets,2024-06-08 06:00:00+05:30,Group,"Grand Prairie Cricket Stadium, Dallas"
15,239618,Match 16,NED,SA,South Africa beat Netherlands by 4 wickets,2024-06-08 20:00:00+05:30,Group,"Nassau County International Cricket Stadium, New York"
16,239619,Match 17,AUS,ENG,Australia beat England by 36 runs,2024-06-08 22:30:00+05:30,Group,"Kensington Oval, Bridgetown, Barbados"
17,239620,Match 18,WI,UGA,West Indies beat Uganda by 134 runs,2024-06-09 06:00:00+05:30,Group,"Guyana National Stadium, Guyana"
18,239621,Match 19,IND,PAK,India beat Pakistan by 6 runs,2024-06-09 20:00:00+05:30,Group,"Nassau County International Cricket Stadium, New York"
19,239622,Match 20,OMA,SCO,Scotland beat Oman by 7 wickets,2024-06-09 22:30:00+05:30,Group,"Sir Vivian Richards Stadium, North Sound, Antigua"
20,239623,Match 21,SA,BAN,South Africa beat Bangladesh by 4 runs,2024-06-10 20:00:00+05:30,Group,"Nassau County International Cricket Stadium, New York"
21,239624,Match 22,PAK,CAN,Pakistan beat Canada by 7 wickets,2024-06-11 20:00:00+05:30,Group,"Nassau County International Cricket Stadium, New York"
22,239625,Match 23,SL,NEP,Match Abandoned,2024-06-12 05:00:00+05:30,Group,"Central Broward Park & Broward County Stadium, Lauderhill, Florida"
23,239626,Match 24,AUS,NAM,Australia beat Namibia by 9 wickets,2024-06-12 06:00:00+05:30,Group,"Sir Vivian Richards Stadium, North Sound, Antigua"
24,239627,Match 25,USA,IND,India beat USA by 7 wickets,2024-06-12 20:00:00+05:30,Group,"Nassau County International Cricket Stadium, New York"
25,239628,Match 26,WI,NZ,West Indies beat New Zealand by 13 runs,2024-06-13 06:00:00+05:30,Group,"Brian Lara Cricket Academy, Tarouba"
26,239630,Match 27,BAN,NED,Bangladesh beat Netherlands by 25 runs,2024-06-13 20:00:00+05:30,Group,"Arnos Vale Ground, Arnos Vale, St Vincent"
27,239629,Match 28,ENG,OMA,England beat Oman by 8 wickets,2024-06-14 00:30:00+05:30,Group,"Sir Vivian Richards Stadium, North Sound, Antigua"
28,239631,Match 29,AFG,PNG,Afghanistan beat Papua New Guinea by 7 wickets,2024-06-14 06:00:00+05:30,Group,"Brian Lara Cricket Academy, Tarouba"
29,239632,Match 30,USA,IRE,Match Abandoned,2024-06-14 20:00:00+05:30,Group,"Central Broward Park & Broward County Stadium, Lauderhill, Florida"
30,239633,Match 31,SA,NEP,South Africa beat Nepal by 1 run,2024-06-15 05:00:00+05:30,Group,"Arnos Vale Ground, Arnos Vale, St Vincent"
31,239634,Match 32,NZ,UGA,New Zealand beat Uganda by 9 wickets,2024-06-15 06:00:00+05:30,Group,"Brian Lara Cricket Academy, Tarouba"
32,239635,Match 33,IND,CAN,Match Abandoned,2024-06-15 20:00:00+05:30,Group,"Central Broward Park & Broward County Stadium, Lauderhill, Florida"
33,239636,Match 34,NAM,ENG,England beat Namibia by 41 runs (DLS method),2024-06-15 22:30:00+05:30,Group,"Sir Vivian Richards Stadium, North Sound, Antigua"
34,239637,Match 35,AUS,SCO,Australia beat Scotland by 5 wickets,2024-06-16 06:00:00+05:30,Group,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
35,239638,Match 36,PAK,IRE,Pakistan beat Ireland by 3 wickets,2024-06-16 20:00:00+05:30,Group,"Central Broward Park & Broward County Stadium, Lauderhill, Florida"
36,239639,Match 37,BAN,NEP,Bangladesh beat Nepal by 21 runs,2024-06-17 05:00:00+05:30,Group,"Arnos Vale Ground, Arnos Vale, St Vincent"
37,239640,Match 38,SL,NED,Sri Lanka beat Netherlands by 83 runs,2024-06-17 06:00:00+05:30,Group,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
38,239641,Match 39,NZ,PNG,New Zealand beat Papua New Guinea by 7 wickets,2024-06-17 20:00:00+05:30,Group,"Brian Lara Cricket Academy, Tarouba"
39,239642,Match 40,WI,AFG,West Indies beat Afghanistan by 104 runs,2024-06-18 06:00:00+05:30,Group,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
40,239643,Super Eight - Match 1,USA,SA,South Africa beat USA by 18 runs,2024-06-19 20:00:00+05:30,Super Eight,"Sir Vivian Richards Stadium, North Sound, Antigua"
41,239644,Super Eight - Match 2,ENG,WI,England beat West Indies by 8 wickets,2024-06-20 06:00:00+05:30,Super Eight,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
42,239645,Super Eight - Match 3,AFG,IND,India beat Afghanistan by 47 runs,2024-06-20 20:00:00+05:30,Super Eight,"Kensington Oval, Bridgetown, Barbados"
43,239646,Super Eight - Match 4,AUS,BAN,Australia beat Bangladesh by 28 runs (DLS method),2024-06-21 06:00:00+05:30,Super Eight,"Sir Vivian Richards Stadium, North Sound, Antigua"
44,239647,Super Eight - Match 5,ENG,SA,South Africa beat England by 7 runs,2024-06-21 20:00:00+05:30,Super Eight,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
45,239648,Super Eight - Match 6,USA,WI,West Indies beat USA by 9 wickets,2024-06-22 06:00:00+05:30,Super Eight,"Kensington Oval, Bridgetown, Barbados"
46,239649,Super Eight - Match 7,IND,BAN,India beat Bangladesh by 50 runs,2024-06-22 20:00:00+05:30,Super Eight,"Sir Vivian Richards Stadium, North Sound, Antigua"
47,239650,Super Eight - Match 8,AFG,AUS,Afghanistan beat Australia by 21 runs,2024-06-23 06:00:00+05:30,Super Eight,"Arnos Vale Ground, Arnos Vale, St Vincent"
48,239651,Super Eight - Match 9,USA,ENG,England beat USA by 10 wickets,2024-06-23 20:00:00+05:30,Super Eight,"Kensington Oval, Bridgetown, Barbados"
49,239652,Super Eight - Match 10,WI,SA,South Africa beat West Indies by 3 wickets (DLS method),2024-06-24 06:00:00+05:30,Super Eight,"Sir Vivian Richards Stadium, North Sound, Antigua"
50,239653,Super Eight - Match 11,AUS,IND,India beat Australia by 24 runs,2024-06-24 20:00:00+05:30,Super Eight,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
51,239654,Super Eight - Match 12,AFG,BAN,Afghanistan beat Bangladesh by 8 runs (DLS method),2024-06-25 06:00:00+05:30,Super Eight,"Arnos Vale Ground, Arnos Vale, St Vincent"
52,239655,1st Semi-Final,SA,AFG,South Africa beat Afghanistan by 9 wickets,2024-06-27 06:00:00+05:30,Semi Final,"Brian Lara Cricket Academy, Tarouba, Trinidad and Tobago"
53,239656,2nd Semi-Final,IND,ENG,India beat England by 68 runs,2024-06-27 20:00:00+05:30,Semi Final,"Guyana National Stadium, Guyana"
54,239657,Final,SA,IND,India beat South Africa by 7 runs,2024-06-29 20:00:00+05:30,Final,"Kensington Oval, Bridgetown, Barbados"
